Repository Page,Component,Hook,API,Server Action,Database Table,Storage,Edge Function,AI,Build,Production URL,Status
/status/application,,intake/status?token=${encodeURIComponent(token)}`);
        const json = (await res.json()) as StatusResponse;
        setData(json);
      } catch {
        setData({ success: false, error: ,,,,,,,Marketing,,⚠️ API_ONLY
/payment-error,,,,,,,,,Marketing,,⚠️ PARTIAL_DB
/for-employers,,,,,,,,,Marketing,,⚠️ PARTIAL_DB
/credentials,,,,,,,,,Marketing,,⚠️ PARTIAL_DB
/government,,,,,,,,,Marketing,,⚠️ PARTIAL_DB
/schools/mesmerized-by-beauty,,,,,,,,,Marketing,,⚠️ PARTIAL_DB
/admin,,,,,,,,,Admin,,⚠️ PARTIAL_DB
/admin/learning-paths,learning_paths,,,,learning_paths,,,,Admin,,✅ DB_ONLY
/admin/videos,videos,,,,videos,,,,Admin,,✅ DB_ONLY
/admin/videos/upload,,,,,,,,,Admin,,⚠️ PARTIAL_DB
/admin/exam-authorizations,exam_authorization_queue,profiles,,,,exam_authorization_queue,profiles,,,,Admin,,✅ DB_ONLY
/admin/content,,,,,,,,,Admin,,⚠️ PARTIAL_DB
/admin/content/editor,,,,,,,,,Admin,,⚠️ PARTIAL_DB
/admin/instructor/dashboard,,,,,,,,,Admin,,⚠️ PARTIAL_DB
/admin/modules,modules,programs,training_modules,,,,modules,programs,training_modules,,,,Admin,,✅ DB_ONLY
/admin/sops,sop_templates,,,,sop_templates,,,,Admin,,✅ DB_ONLY
/admin/sops/[id],,,,,,,,,Admin,,⚠️ PARTIAL_DB
/admin/timeclock,admin_alerts,apprentice_sites,apprentices,profiles,progress_entries,,,,admin_alerts,apprentice_sites,apprentices,profiles,progress_entries,,,,Admin,,✅ DB_ONLY
/admin/credentials,credential_registry,,,,credential_registry,,,,Admin,,✅ DB_ONLY
/admin/system-health,,,,,,,,,Admin,,⚠️ PARTIAL_DB
/admin/enrollment-jobs,enrollment_jobs,,,,enrollment_jobs,,,,Admin,,✅ DB_ONLY
/admin/data-import,,,,,,,,,Admin,,⚠️ PARTIAL_DB
/admin/shops,shop_applications,shop_required_docs_status,shops,,,,shop_applications,shop_required_docs_status,shops,,,,Admin,,✅ DB_ONLY
/admin/shops/geocoding,profiles,shops,,,,profiles,shops,,,,Admin,,✅ DB_ONLY
/admin/promo-codes,,,,,,,,,Admin,,⚠️ PARTIAL_DB
/admin/organization,,,,,,,,,Admin,,⚠️ PARTIAL_DB
/admin/organization/profile,,,,,,,,,Admin,,⚠️ PARTIAL_DB
/admin/instructor-credentials,,,,,,,,,Admin,,⚠️ PARTIAL_DB
/admin/security,,,,,,,,,Admin,,⚠️ PARTIAL_DB
/admin/jobs,employers,job_applications,job_placements,job_postings,,,,employers,job_applications,job_placements,job_postings,,,,Admin,,✅ DB_ONLY
/admin/jobs/new,,,,,,,,,Admin,,⚠️ PARTIAL_DB
/admin/courses,,,,,,,,,Admin,,⚠️ PARTIAL_DB
/admin/courses/create,,,,,,,,,Admin,,⚠️ PARTIAL_DB
/admin/jri,program_enrollments,,,,program_enrollments,,,,Admin,,✅ DB_ONLY
/admin/jri/reports,jri_participants,,,,jri_participants,,,,Admin,,✅ DB_ONLY
/admin/jri/participants,jri_participants,,,,jri_participants,,,,Admin,,✅ DB_ONLY
/admin/verifications,id_verifications,profiles,,,,id_verifications,profiles,,,,Admin,,✅ DB_ONLY
/admin/verifications/review,id_verifications,profiles,,,,id_verifications,profiles,,,,Admin,,✅ DB_ONLY
/admin/rapids,rapids_progress_updates,rapids_registrations,rapids_submissions,,,,rapids_progress_updates,rapids_registrations,rapids_submissions,,,,Admin,,✅ DB_ONLY
/admin/grants,grants,,,,grants,,,,Admin,,✅ DB_ONLY
/admin/grants/workflow,grant_applications,grant_entities,grants,profiles,,,,grant_applications,grant_entities,grants,profiles,,,,Admin,,✅ DB_ONLY
/admin/grants/intake,grant_opportunities,,,,grant_opportunities,,,,Admin,,✅ DB_ONLY
/admin/grants/snap-et,,,,,,,,,Admin,,⚠️ PARTIAL_DB
/admin/grants/revenue,grant_applications,,,,grant_applications,,,,Admin,,✅ DB_ONLY
/admin/grants/applications,grant_applications,,,,grant_applications,,,,Admin,,✅ DB_ONLY
/admin/grants/applications/new,,,,,,,,,Admin,,⚠️ PARTIAL_DB
/admin/grants/submissions,grant_submissions,profiles,,,,grant_submissions,profiles,,,,Admin,,✅ DB_ONLY
/admin/grants/opportunities,grant_opportunities,,,,grant_opportunities,,,,Admin,,✅ DB_ONLY
/admin/student-access,,admin/student-access,,,,,,,Admin,,⚠️ API_ONLY
/admin/employers,employers,,,,employers,,,,Admin,,✅ DB_ONLY
/admin/employers/onboarding,employer_onboarding,employer_onboarding_progress,,,,employer_onboarding,employer_onboarding_progress,,,,Admin,,✅ DB_ONLY
/admin/employees,employees,,,,employees,,,,Admin,,✅ DB_ONLY
/admin/cohorts,cohorts,programs,,,,cohorts,programs,,,,Admin,,✅ DB_ONLY
/admin/licenses,licenses,,,,licenses,,,,Admin,,✅ DB_ONLY
/admin/licenses/create,tenants,,,,tenants,,,,Admin,,✅ DB_ONLY
/admin/referrals,referral_pipeline_summary,workforce_referrals,,,,referral_pipeline_summary,workforce_referrals,,,,Admin,,✅ DB_ONLY
/admin/apprenticeships,apprenticeship_enrollments,progress_entries,,,,apprenticeship_enrollments,progress_entries,,,,Admin,,✅ DB_ONLY
/admin/video-generator,,,,,,,,,Admin,,⚠️ PARTIAL_DB
/admin/billing,addon_subscriptions,licenses,organization_subscriptions,subscription_plans,,,,addon_subscriptions,licenses,organization_subscriptions,subscription_plans,,,,Admin,,✅ DB_ONLY
/admin/billing/feature-flags,features,,,,features,,,,Admin,,✅ DB_ONLY
/admin/billing/licenses,,,,,,,,,Admin,,⚠️ PARTIAL_DB
/admin/billing/usage,,,,,,,,,Admin,,⚠️ PARTIAL_DB
/admin/billing/subscriptions,organization_subscriptions,,,,organization_subscriptions,,,,Admin,,✅ DB_ONLY
/admin/billing/addons,saas_addon_catalog,,,,saas_addon_catalog,,,,Admin,,✅ DB_ONLY
/admin/billing/plans,subscription_plans,,,,subscription_plans,,,,Admin,,✅ DB_ONLY
/admin/billing/invoices,,,,,,,,,Admin,,⚠️ PARTIAL_DB
/admin/affiliates,affiliate_applications,affiliate_payouts,affiliates,,,,affiliate_applications,affiliate_payouts,affiliates,,,,Admin,,✅ DB_ONLY
/admin/communications,communications,email_templates,scheduled_messages,,,,communications,email_templates,scheduled_messages,,,,Admin,,✅ DB_ONLY
/admin/communications/templates,email_templates,,,,email_templates,,,,Admin,,✅ DB_ONLY
/admin/communications/templates/new,,,,,,,,,Admin,,⚠️ PARTIAL_DB
/admin/communications/new,email_templates,,,,email_templates,,,,Admin,,✅ DB_ONLY
/admin/reports,profiles,program_completion_certificates,program_enrollments,,,,profiles,program_completion_certificates,program_enrollments,,,,Admin,,✅ DB_ONLY
/admin/reports/charts,applications,enrollments,partner_completions,programs,,,,applications,enrollments,partner_completions,programs,,,,Admin,,✅ DB_ONLY
/admin/reports/leads,leads,profiles,,,,leads,profiles,,,,Admin,,✅ DB_ONLY
/admin/reports/users,profiles,,,,profiles,,,,Admin,,✅ DB_ONLY
/admin/reports/reports,reports,,,,reports,,,,Admin,,✅ DB_ONLY
/admin/reports/caseload,profiles,program_enrollments,,,,profiles,program_enrollments,,,,Admin,,✅ DB_ONLY
/admin/reports/enrollment,courses,profiles,training_enrollments,,,,courses,profiles,training_enrollments,,,,Admin,,✅ DB_ONLY
/admin/reports/financial,grant_applications,grant_opportunities,profiles,wotc_applications,,,,grant_applications,grant_opportunities,profiles,wotc_applications,,,,Admin,,✅ DB_ONLY
/admin/reports/partners,partner_enrollments,partner_inquiries,partners,profiles,,,,partner_enrollments,partner_inquiries,partners,profiles,,,,Admin,,✅ DB_ONLY
/admin/reports/wioa,participant_report,program_enrollments,,,,participant_report,program_enrollments,,,,Admin,,✅ DB_ONLY
/admin/reports/samples,certificates,completions,courses,profiles,program_enrollments,programs,,,,certificates,completions,courses,profiles,program_enrollments,programs,,,,Admin,,✅ DB_ONLY
/admin/operations,admin_alerts,cron_job_runs,workflow_dead_letters,workflow_runs,workflow_step_logs,workflows,,,,admin_alerts,cron_job_runs,workflow_dead_letters,workflow_runs,workflow_step_logs,workflows,,,,Admin,,✅ DB_ONLY
/admin/external-course-completions,external_course_completions,profiles,,,,external_course_completions,profiles,,,,Admin,,✅ DB_ONLY
/admin/mou,mou_signatures,mou_templates,partner_mous,,,,mou_signatures,mou_templates,partner_mous,,,,Admin,,✅ DB_ONLY
/admin/student-hours,apprenticeship_hours,profiles,programs,,,,apprenticeship_hours,profiles,programs,,,,Admin,,✅ DB_ONLY
/admin/hours-export,,,,,,,,,Admin,,⚠️ PARTIAL_DB
/admin/files,,,,,,,,,Admin,,⚠️ PARTIAL_DB
/admin/governance,,,,,,,,,Admin,,⚠️ PARTIAL_DB
/admin/governance/security,,,,,,,,,Admin,,⚠️ PARTIAL_DB
/admin/governance/data,,,,,,,,,Admin,,⚠️ PARTIAL_DB
/admin/governance/seo-indexing,,,,,,,,,Admin,,⚠️ PARTIAL_DB
/admin/governance/governance/security,,,,,,,,,Admin,,⚠️ PARTIAL_DB
/admin/governance/governance/operational-controls,,,,,,,,,Admin,,⚠️ PARTIAL_DB
/admin/governance/compliance,,,,,,,,,Admin,,⚠️ PARTIAL_DB
/admin/governance/legal,,,,,,,,,Admin,,⚠️ PARTIAL_DB
/admin/governance/contact,,,,,,,,,Admin,,⚠️ PARTIAL_DB
/admin/governance/authoritative-docs,compliance_documents,,,,compliance_documents,,,,Admin,,✅ DB_ONLY
/admin/governance/operational-controls,,,,,,,,,Admin,,⚠️ PARTIAL_DB
/admin/programs,courses,programs,,,,courses,programs,,,,Admin,,✅ DB_ONLY
/admin/programs/catalog,programs,,,,programs,,,,Admin,,✅ DB_ONLY
/admin/notifications,notification_logs,notifications,profiles,,,,notification_logs,notifications,profiles,,,,Admin,,✅ DB_ONLY
/admin/tenants,tenants,,,,tenants,,,,Admin,,✅ DB_ONLY
/admin/intelligence,student_risk_status,,,,student_risk_status,,,,Admin,,✅ DB_ONLY
/admin/intelligence/forecast,program_enrollments,programs,,,,program_enrollments,programs,,,,Admin,,✅ DB_ONLY
/admin/site-audit,,admin/site-audit,,,,,,,Admin,,⚠️ API_ONLY
/admin/system,,,,,,,,,Admin,,⚠️ PARTIAL_DB
/admin/system/jobs,job_queue,profiles,,,,job_queue,profiles,,,,Admin,,✅ DB_ONLY
/admin/system/webhooks,profiles,,,,profiles,,,,Admin,,✅ DB_ONLY
/admin/docs,profiles,,,,profiles,,,,Admin,,✅ DB_ONLY
/admin/docs/mou,mou_documents,,,,mou_documents,,,,Admin,,✅ DB_ONLY
/admin/barber-shop-applications,barbershop_partner_applications,profiles,,,,barbershop_partner_applications,profiles,,,,Admin,,✅ DB_ONLY
/admin/api-keys,api_keys,,,,api_keys,,,,Admin,,✅ DB_ONLY
/admin/signatures,signature_documents,signatures,,,,signature_documents,signatures,,,,Admin,,✅ DB_ONLY
/admin/funding,ita_vouchers,profiles,program_enrollments,,,,ita_vouchers,profiles,program_enrollments,,,,Admin,,✅ DB_ONLY
/admin/store,license_purchases,purchases,store_products,,,,license_purchases,purchases,store_products,,,,Admin,,✅ DB_ONLY
/admin/store/catalog,,,,,,,,,Admin,,⚠️ PARTIAL_DB
/admin/review-queue,applications,profiles,review_queue,,,,applications,profiles,review_queue,,,,Admin,,✅ DB_ONLY
/admin/dev-studio,,,,,,,,,Admin,,⚠️ PARTIAL_DB
/admin/dev-studio/api,,,,,,,,,Admin,,⚠️ PARTIAL_DB
/admin/dev-studio/performance,,,,,,,,,Admin,,⚠️ PARTIAL_DB
/admin/dev-studio/services,,,,,,,,,Admin,,⚠️ PARTIAL_DB
/admin/dev-studio/deployments,,,,,,,,,Admin,,⚠️ PARTIAL_DB
/admin/dev-studio/containers,,,,,,,,,Admin,,⚠️ PARTIAL_DB
/admin/dev-studio/database,,,,,,,,,Admin,,⚠️ PARTIAL_DB
/admin/dev-studio/subscriptions,,admin/subscriptions/features,admin/subscriptions/plans,admin/subscriptions/plans/features,,,,,,,Admin,,⚠️ API_ONLY
/admin/dev-studio/image-seo,,,,,,,,,Admin,,⚠️ PARTIAL_DB
/admin/autopilot,delivery_logs,notifications,profiles,program_enrollments,,,,delivery_logs,notifications,profiles,program_enrollments,,,,Admin,,✅ DB_ONLY
/admin/activity,applications,audit_logs,enrollments,profiles,,,,applications,audit_logs,enrollments,profiles,,,,Admin,,✅ DB_ONLY
/admin/provider-applications,profiles,provider_applications,,,,profiles,provider_applications,,,,Admin,,✅ DB_ONLY
/admin/partner-enrollments,partner_course_enrollments,profiles,,,,partner_course_enrollments,profiles,,,,Admin,,✅ DB_ONLY
/admin/contracts,,,,,,,,,Admin,,⚠️ PARTIAL_DB
/admin/studio,,,,,,,,,Admin,,⚠️ PARTIAL_DB
/admin/studio/pages,,,,,,,,,Admin,,⚠️ PARTIAL_DB
/admin/studio/memory,,,,,,,,,Admin,,⚠️ PARTIAL_DB
/admin/studio/deployments,,,,,,,,,Admin,,⚠️ PARTIAL_DB
/admin/studio/media,,,,,,,,,Admin,,⚠️ PARTIAL_DB
/admin/studio/tasks,,,,,,,,,Admin,,⚠️ PARTIAL_DB
/admin/studio/builds,,,,,,,,,Admin,,⚠️ PARTIAL_DB
/admin/studio/settings,,,,,,,,,Admin,,⚠️ PARTIAL_DB
/admin/studio/agents,,,,,,,,,Admin,,⚠️ PARTIAL_DB
/admin/studio/course,,,,,,,,,Admin,,⚠️ PARTIAL_DB
/admin/studio/workflows,,,,,,,,,Admin,,⚠️ PARTIAL_DB
/admin/dashboard,,,,,,,,,Admin,,⚠️ PARTIAL_DB
/admin/dashboard/program-integrity,,admin/program-integrity?limit=100&min=0,,,,,,,Admin,,⚠️ API_ONLY
/admin/dashboard/etpl,,,,,,,,,Admin,,⚠️ PARTIAL_DB
/admin/integrations,,,,,,,,,Admin,,⚠️ PARTIAL_DB
/admin/integrations/google-classroom,profiles,,,,profiles,,,,Admin,,✅ DB_ONLY
/admin/integrations/quickbooks,,,,,,,,,Admin,,⚠️ PARTIAL_DB
/admin/integrations/stripe,barber_payments,barber_subscriptions,cosmetology_subscriptions,payment_integrity_flags,program_enrollments,stripe_sessions_staging,,,,barber_payments,barber_subscriptions,cosmetology_subscriptions,payment_integrity_flags,program_enrollments,stripe_sessions_staging,,,,Admin,,✅ DB_ONLY
/admin/integrations/calendly,,,,,,,,,Admin,,⚠️ PARTIAL_DB
/admin/integrations/gemini,,,,,,,,,Admin,,⚠️ PARTIAL_DB
/admin/integrations/teams,,,,,,,,,Admin,,⚠️ PARTIAL_DB
/admin/integrations/env-manager,,,,,,,,,Admin,,⚠️ PARTIAL_DB
/admin/integrations/salesforce,,,,,,,,,Admin,,⚠️ PARTIAL_DB
/admin/platform,customer_workspaces,managed_licenses,operator_tasks,provisioning_jobs,,,,customer_workspaces,managed_licenses,operator_tasks,provisioning_jobs,,,,Admin,,✅ DB_ONLY
/admin/blog,blog_posts,profiles,,,,blog_posts,profiles,,,,Admin,,✅ DB_ONLY
/admin/compliance,compliance_alerts,compliance_items,wioa_compliance_reports,wioa_participants,,,,compliance_alerts,compliance_items,wioa_compliance_reports,wioa_participants,,,,Admin,,✅ DB_ONLY
/admin/compliance/automation,contract_templates,documents,grant_applications,,,,contract_templates,documents,grant_applications,,,,Admin,,✅ DB_ONLY
/admin/compliance/financial-assurance,financial_assurance_records,v_admin_financial_assurance_summary,,,,financial_assurance_records,v_admin_financial_assurance_summary,,,,Admin,,✅ DB_ONLY
/admin/compliance/exports,profiles,,,,profiles,,,,Admin,,✅ DB_ONLY
/admin/compliance/wioa-etpl,,,,,,,,,Admin,,⚠️ PARTIAL_DB
/admin/compliance/deletions,profiles,,,,profiles,,,,Admin,,✅ DB_ONLY
/admin/hr,employees,leave_requests,payroll_runs,performance_reviews,time_off_requests,,,,employees,leave_requests,payroll_runs,performance_reviews,time_off_requests,,,,Admin,,✅ DB_ONLY
/admin/hr/employees,employees,,,,employees,,,,Admin,,✅ DB_ONLY
/admin/hr/time,,,,,,,,,Admin,,⚠️ PARTIAL_DB
/admin/hr/leave,leave_requests,profiles,,,,leave_requests,profiles,,,,Admin,,✅ DB_ONLY
/admin/hr/payroll,payroll_runs,profiles,w9_submissions,,,,payroll_runs,profiles,w9_submissions,,,,Admin,,✅ DB_ONLY
/admin/incentives,incentives,,,,incentives,,,,Admin,,✅ DB_ONLY
/admin/incentives/create,,,,,,,,,Admin,,⚠️ PARTIAL_DB
/admin/waitlist,waitlist,,,,waitlist,,,,Admin,,✅ DB_ONLY
/admin/enrollments,cohorts,courses,profiles,program_enrollments,,,,cohorts,courses,profiles,program_enrollments,,,,Admin,,✅ DB_ONLY
/admin/program-holder-documents,profiles,program_holder_documents,,,,profiles,program_holder_documents,,,,Admin,,✅ DB_ONLY
/admin/students,profiles,program_enrollments,,,,profiles,program_enrollments,,,,Admin,,✅ DB_ONLY
/admin/students/export,programs,,,,programs,,,,Admin,,✅ DB_ONLY
/admin/students/[id]/binder,attendance,certificates,enrollments,student_documents,students,,,,attendance,certificates,enrollments,student_documents,students,,,,Admin,,✅ DB_ONLY
/admin/home,,,,,,,,,Admin,,⚠️ PARTIAL_DB
/admin/partners,partner_applications,partners,,,,partner_applications,partners,,,,Admin,,✅ DB_ONLY
/admin/partners/lms-integrations,profiles,,,,profiles,,,,Admin,,✅ DB_ONLY
/admin/partners/lms-integrations/[id],partner_lms_courses,partner_lms_enrollments,partner_lms_providers,partner_lms_sync_logs,,,,partner_lms_courses,partner_lms_enrollments,partner_lms_providers,partner_lms_sync_logs,,,,Admin,,✅ DB_ONLY
/admin/partners/applications,partner_applications,,,,partner_applications,,,,Admin,,✅ DB_ONLY
/admin/partners/applications/[id],partner_applications,,,,partner_applications,,,,Admin,,✅ DB_ONLY
/admin/curriculum,courses,curriculum_lessons,programs,training_courses,training_lessons,,,,courses,curriculum_lessons,programs,training_courses,training_lessons,,,,Admin,,✅ DB_ONLY
/admin/curriculum/upload,,,,,,,,,Admin,,⚠️ PARTIAL_DB
/admin/settings,platform_settings,,,,platform_settings,,,,Admin,,✅ DB_ONLY
/admin/settings/general,platform_settings,,,,platform_settings,,,,Admin,,✅ DB_ONLY
/admin/settings/security,platform_settings,,,,platform_settings,,,,Admin,,✅ DB_ONLY
/admin/settings/social-media,,,,,,,,,Admin,,⚠️ PARTIAL_DB
/admin/settings/nav,,,,,,,,,Admin,,⚠️ PARTIAL_DB
/admin/settings/notifications,platform_settings,,,,platform_settings,,,,Admin,,✅ DB_ONLY
/admin/settings/email,platform_settings,,,,platform_settings,,,,Admin,,✅ DB_ONLY
/admin/settings/integrations,,,,,,,,,Admin,,⚠️ PARTIAL_DB
/admin/settings/site-stats,platform_settings,,,,platform_settings,,,,Admin,,✅ DB_ONLY
/admin/settings/payments,platform_settings,,,,platform_settings,,,,Admin,,✅ DB_ONLY
/admin/settings/organization-profile,sos_organization_facts,sos_organizations,,,,sos_organization_facts,sos_organizations,,,,Admin,,✅ DB_ONLY
/admin/audit-logs,,,,,,,,,Admin,,⚠️ PARTIAL_DB
/admin/audit-logs/audit-logs,,,,,,,,,Admin,,⚠️ PARTIAL_DB
/admin/marketplace,marketplace_creators,marketplace_products,,,,marketplace_creators,marketplace_products,,,,Admin,,✅ DB_ONLY
/admin/marketplace/creators,marketplace_creators,,,,marketplace_creators,,,,Admin,,✅ DB_ONLY
/admin/marketplace/products,marketplace_products,,,,marketplace_products,,,,Admin,,✅ DB_ONLY
/admin/marketplace/payouts,marketplace_creators,,,,marketplace_creators,,,,Admin,,✅ DB_ONLY
/admin/documents,documents,,,,documents,,,,Admin,,✅ DB_ONLY
/admin/documents/upload,,,,,,,,,Admin,,⚠️ PARTIAL_DB
/admin/documents/templates,,,,,,,,,Admin,,⚠️ PARTIAL_DB
/admin/documents/review,documents,profiles,,,,documents,profiles,,,,Admin,,✅ DB_ONLY
/admin/documents/print,,,,,,,,,Admin,,⚠️ PARTIAL_DB
/admin/payout-queue,profiles,program_enrollments,program_holders,,,,profiles,program_enrollments,program_holders,,,,Admin,,✅ DB_ONLY
/admin/gradebook,courses,,,,courses,,,,Admin,,✅ DB_ONLY
/admin/snapshots,,,,,,,,,Admin,,⚠️ PARTIAL_DB
/admin/program-holder-acknowledgements,handbook_acknowledgments,program_holder_acknowledgements,program_holders,,,,handbook_acknowledgments,program_holder_acknowledgements,program_holders,,,,Admin,,✅ DB_ONLY
/admin/ferpa,audit_logs,compliance_alerts,documents,profiles,,,,audit_logs,compliance_alerts,documents,profiles,,,,Admin,,✅ DB_ONLY
/admin/ferpa/directory-info,platform_settings,,,,platform_settings,,,,Admin,,✅ DB_ONLY
/admin/ferpa/training,ferpa_training_records,profiles,,,,ferpa_training_records,profiles,,,,Admin,,✅ DB_ONLY
/admin/ferpa/consent-forms,documents,,,,documents,,,,Admin,,✅ DB_ONLY
/admin/ferpa/audit-log,audit_logs,,,,audit_logs,,,,Admin,,✅ DB_ONLY
/admin/ferpa/access-requests,documents,,,,documents,,,,Admin,,✅ DB_ONLY
/admin/internal-docs,documents,,,,documents,,,,Admin,,✅ DB_ONLY
/admin/monitoring,monitoring_alerts,,,,monitoring_alerts,,,,Admin,,✅ DB_ONLY
/admin/monitoring/setup,,,,,,,,,Admin,,⚠️ PARTIAL_DB
/admin/certificates,profiles,program_completion_certificates,programs,,,,profiles,program_completion_certificates,programs,,,,Admin,,✅ DB_ONLY
/admin/certificates/issue,certificate_templates,courses,,,,certificate_templates,courses,,,,Admin,,✅ DB_ONLY
/admin/certificates/bulk,certificate_templates,certification_types,profiles,program_enrollments,user_certifications,,,,certificate_templates,certification_types,profiles,program_enrollments,user_certifications,,,,Admin,,✅ DB_ONLY
/admin/accreditation,accreditation_evidence,accreditation_standards,,,,accreditation_evidence,accreditation_standards,,,,Admin,,✅ DB_ONLY
/admin/accreditation/report,certificates,completions,lms_courses,profiles,program_enrollments,programs,,,,certificates,completions,lms_courses,profiles,program_enrollments,programs,,,,Admin,,✅ DB_ONLY
/admin/analytics,profiles,program_completion_certificates,program_enrollments,programs,,,,profiles,program_completion_certificates,program_enrollments,programs,,,,Admin,,✅ DB_ONLY
/admin/analytics/engagement,audit_logs,profiles,,,,audit_logs,profiles,,,,Admin,,✅ DB_ONLY
/admin/analytics/employers,employers,job_placements,job_postings,,,,employers,job_placements,job_postings,,,,Admin,,✅ DB_ONLY
/admin/analytics/programs,program_completion_certificates,program_enrollments,programs,,,,program_completion_certificates,program_enrollments,programs,,,,Admin,,✅ DB_ONLY
/admin/analytics/analytics,profiles,program_completion_certificates,program_enrollments,programs,,,,profiles,program_completion_certificates,program_enrollments,programs,,,,Admin,,✅ DB_ONLY
/admin/analytics/revenue,payment_transactions,,,,payment_transactions,,,,Admin,,✅ DB_ONLY
/admin/analytics/learning,lesson_progress,profiles,program_completion_certificates,program_enrollments,programs,,,,lesson_progress,profiles,program_completion_certificates,program_enrollments,programs,,,,Admin,,✅ DB_ONLY
/admin/payroll-cards,profiles,,,,profiles,,,,Admin,,✅ DB_ONLY
/admin/workone-queue,applications,profiles,workforce_referrals,,,,applications,profiles,workforce_referrals,,,,Admin,,✅ DB_ONLY
/admin/testing-center,exam_bookings,exam_sessions,testing_slots,,,,exam_bookings,exam_sessions,testing_slots,,,,Admin,,✅ DB_ONLY
/admin/delegates,delegates,profiles,,,,delegates,profiles,,,,Admin,,✅ DB_ONLY
/admin/testing,testing_sessions,,,,testing_sessions,,,,Admin,,✅ DB_ONLY
/admin/at-risk,at_risk_students,profiles,program_enrollments,,,,at_risk_students,profiles,program_enrollments,,,,Admin,,✅ DB_ONLY
/admin/workforce,workforce_cases,workforce_funding,workforce_participants,,,,workforce_cases,workforce_funding,workforce_participants,,,,Admin,,✅ DB_ONLY
/admin/workforce/cases,workforce_cases,,,,workforce_cases,,,,Admin,,✅ DB_ONLY
/admin/workforce/outcomes,workforce_participants,,,,workforce_participants,,,,Admin,,✅ DB_ONLY
/admin/workforce/reports,workforce_participants,,,,workforce_participants,,,,Admin,,✅ DB_ONLY
/admin/workforce/compliance,workforce_participants,,,,workforce_participants,,,,Admin,,✅ DB_ONLY
/admin/workforce/participants,workforce_participants,,,,workforce_participants,,,,Admin,,✅ DB_ONLY
/admin/workforce/participants/new,,,,,,,,,Admin,,⚠️ PARTIAL_DB
/admin/funding-verification,payment_integrity_flags,v_funding_verification_queue,,,,payment_integrity_flags,v_funding_verification_queue,,,,Admin,,✅ DB_ONLY
/admin/crm,appointments,campaigns,follow_ups,leads,profiles,,,,appointments,campaigns,follow_ups,leads,profiles,,,,Admin,,✅ DB_ONLY
/admin/crm/leads,leads,,,,leads,,,,Admin,,✅ DB_ONLY
/admin/crm/follow-ups,crm_follow_ups,,,,crm_follow_ups,,,,Admin,,✅ DB_ONLY
/admin/crm/appointments,appointments,,,,appointments,,,,Admin,,✅ DB_ONLY
/admin/crm/crm,appointments,campaigns,follow_ups,leads,profiles,,,,appointments,campaigns,follow_ups,leads,profiles,,,,Admin,,✅ DB_ONLY
/admin/crm/crm/leads,leads,,,,leads,,,,Admin,,✅ DB_ONLY
/admin/crm/crm/leads/[id],leads,,,,leads,,,,Admin,,✅ DB_ONLY
/admin/crm/crm/follow-ups,crm_follow_ups,,,,crm_follow_ups,,,,Admin,,✅ DB_ONLY
/admin/crm/crm/appointments,appointments,,,,appointments,,,,Admin,,✅ DB_ONLY
/admin/crm/crm/contacts,marketing_contacts,,,,marketing_contacts,,,,Admin,,✅ DB_ONLY
/admin/crm/crm/deals,crm_deals,,,,crm_deals,,,,Admin,,✅ DB_ONLY
/admin/crm/crm/campaigns,campaigns,profiles,,,,campaigns,profiles,,,,Admin,,✅ DB_ONLY
