Feature ID,Service,Route,Page,Feature,Stale Version,New Version,Backend Present,Database Present,External Service,Keep,Merge,Rebuild,Remove,Tested,Test Result,Blocker,Final Decision
F054,Auth,/login,Login Page,Email/Password Form,Present,Present,Yes,Yes,No,New,N/A,N/A,N/A,Yes,PASS,None,Keep New
F055,Auth,/login,Login Page,Quick Access Links,Present,Present,Yes,Yes,No,New,N/A,N/A,N/A,Yes,PASS,None,Keep New
F056,Auth,/login,Login Page,Forgot Password,Present,Present,Yes,Yes,No,New,N/A,N/A,N/A,Yes,PASS,None,Keep New
F057,Marketing,/programs/cosmetology-apprenticeship,Cosmetology Page,Program Landing,Present,Present,Yes,Yes,No,New,N/A,N/A,N/A,No,NOT TESTED,None,Keep New
F058,Marketing,/programs/esthetician-apprenticeship,Esthetician Page,Program Landing,Present,Present,Yes,Yes,No,New,N/A,N/A,N/A,No,NOT TESTED,None,Keep New
F059,Marketing,/programs/nail-technician-apprenticeship,Nail Tech Page,Program Landing,Present,Present,Yes,Yes,No,New,N/A,N/A,N/A,No,NOT TESTED,None,Keep New
F060,Marketing,/about,About Page,Content,Present,Present,Yes,Yes,No,New,N/A,N/A,N/A,No,NOT TESTED,None,Keep New
F061,Marketing,/contact,Contact Page,Content,Present,Present,Yes,Yes,No,New,N/A,N/A,N/A,No,NOT TESTED,None,Keep New
F062,Marketing,/blog,Blog Page,Content,Present,Present,Yes,Yes,No,New,N/A,N/A,N/A,No,NOT TESTED,None,Keep New
F063,Marketing,/careers,Careers Page,Content,Present,Present,Yes,Yes,No,New,N/A,N/A,N/A,No,NOT TESTED,None,Keep New
F064,Marketing,/partners,Partners Page,Content,Present,Present,Yes,Yes,No,New,N/A,N/A,N/A,No,NOT TESTED,None,Keep New
F065,Marketing,/employers,Employers Page,Content,Present,Present,Yes,Yes,No,New,N/A,N/A,N/A,No,NOT TESTED,None,Keep New
F066,LMS,/lms/dashboard,Student Dashboard,Overview,Present,Present,Yes,Yes,No,New,N/A,N/A,N/A,No,NOT TESTED,None,Keep New
F067,LMS,/lms/courses,Student Courses,Course List,Present,Present,Yes,Yes,No,New,N/A,N/A,N/A,No,NOT TESTED,None,Keep New
F068,LMS,/lms/attendance,Attendance,Check In/Out,Present,Present,Yes,Yes,No,New,N/A,N/A,N/A,No,NOT TESTED,None,Keep New
F069,LMS,/lms/credentials,Credentials,Credential List,Present,Present,Yes,Yes,No,New,N/A,N/A,N/A,No,NOT TESTED,None,Keep New
F070,Admin,/admin/dashboard,Admin Dashboard,Overview,Present,Present,Yes,Yes,No,New,N/A,N/A,N/A,No,NOT TESTED,None,Keep New
F071,Admin,/admin/students,Students Page,Student List,Present,Present,Yes,Yes,No,New,N/A,N/A,N/A,No,NOT TESTED,None,Keep New
F072,Admin,/admin/enrollments,Enrollments Page,Enrollment List,Present,Present,Yes,Yes,No,New,N/A,N/A,N/A,No,NOT TESTED,None,Keep New
F073,Admin,/admin/applications,Applications Page,Application Queue,Present,Present,Yes,Yes,No,New,N/A,N/A,N/A,No,NOT TESTED,None,Keep New
F074,Admin,/admin/reports,Reports Page,Report Generation,Present,Present,Yes,Yes,No,New,N/A,N/A,N/A,No,NOT TESTED,None,Keep New
F075,Employer,/employer/dashboard,Employer Dashboard,Overview,Present,Present,Yes,Yes,No,New,N/A,N/A,N/A,No,NOT TESTED,None,Keep New
F076,Employer,/employer/apprentices,Apprentices Page,Apprentice List,Present,Present,Yes,Yes,No,New,N/A,N/A,N/A,No,NOT TESTED,None,Keep New
F077,Employer,/employer/hours,Hours Tracking,OJT Logging,Present,Present,Yes,Yes,No,New,N/A,N/A,N/A,No,NOT TESTED,None,Keep New
